آ	N$آ+SG
سمی	N$سمی+SG*سم+SG YEH#SG COP2SG
سمیرا	N$سمی+SG POSTP*سم+SG YEH POSTP
سمینه	N$سمینه+SG
سم‌شان	N$سم+SG PRO3PL
سن	N$سن+SG
سنا	N$سنا+SG
سنائی	N$سنا+SG YEH
سنابل	N$سنابل+SG
سنات	N$سنا+SG PRO2SG*سنات+SG*سنه+PL
سناجق	N$سناجق+SG
سناست	N$سنا+SG COP3SG
سناش	N$سنا+SG PRO3SG
سنام	N$سنا+SG COP1SG#SG PRO1SG
سنامی	N$سنا+SG PRO1SG COP2SG#SG PRO1SG YEH
سنان	N$سن+PL*سنان+SG
سنانت	N$سن+PL PRO2SG*سنان+SG PRO2SG
سنانتان	N$سن+PL PRO2PL*سنان+SG PRO2PL
سنانست	N$سن+PL COP3SG*سنان+SG COP3SG
سنانستی	N$سن+PL COP2SG*سنان+SG COP2SG
سنانش	N$سن+PL PRO3SG*سنان+SG PRO3SG
سنانم	N$سن+PL PRO1SG#PL COP1SG*سنان+SG COP1SG#SG PRO1SG
سنانها	N$سنان+PL
سنانهای	N$سنان+PL EZ#PL COP2SG
سنانی	N$سن+PL YEH#PL COP2SG*سنان+SG YEH#SG COP2SG
سنانیم	N$سن+PL YEH COP1SG#PL COP1PL*سنان+SG COP1PL#SG YEH COP1SG
سنان‌شان	N$سن+PL PRO3PL*سنان+SG PRO3PL
سناها	N$سنا+PL
سنای	N$سنا+SG COP2SG#SG EZ
سنایی	N$سنا+SG YEH
سناییست	N$سنا+SG YEH COP3SG
سناییم	N$سنا+SG YEH COP1SG
سنب	N$سنب+SG
سنباد	N$سنباد+SG
سنباده	N$سنباده+SG
سنبل	N$سنبل+SG
سنبلان	N$سنبل+PL
سنبلت	N$سنبل+SG PRO2SG
سنبلست	N$سنبل+SG COP3SG
سنبلش	N$سنبل+SG PRO3SG
سنبلم	N$سنبل+SG COP1SG#SG PRO1SG
سنبلها	N$سنبل+PL
سنبلی	N$سنبل+SG YEH#SG COP2SG
سنبلیی	N$سنبل+SG YEH COP2SG
سنبل‌ها	N$سنبل+PL
سنبی	N$سنب+SG YEH#SG COP2SG
سنت	N$سن+SG PRO2SG*سنت+SG
سنتش	N$سنت+SG PRO3SG
سنتها	N$سنت+PL
سنتورزنست	N$سنتورزن+SG COP3SG
سنتی	N$سن+SG PRO2SG YEH#SG PRO2SG COP2SG*سنت+SG YEH#SG COP2SG
سنتیست	N$سن+SG PRO2SG YEH COP3SG*سنت+SG YEH COP3SG
سنتی‌ست	N$سن+SG PRO2SG YEH COP3SG*سنت+SG YEH COP3SG
سنج	N$سنج+SG
سنجاب	N$سنجاب+SG
سنجابست	N$سنجاب+SG COP3SG
سنجابها	N$سنجاب+PL
سنجابی	N$سنجاب+SG YEH#SG COP2SG*سنجابی+SG
سنجابیان	N$سنجابی+PL
سنجابیست	N$سنجاب+SG YEH COP3SG*سنجابی+SG COP3SG
سنجان	N$سنج+PL
سنجانم	N$سنج+PL PRO1SG#PL COP1SG
سنجانند	N$سنج+PL COP3PL
سنجد	N$سنجد+SG
سنجدت	N$سنجد+SG PRO2SG
سنجدش	N$سنجد+SG PRO3SG
سنجدم	N$سنجد+SG COP1SG#SG PRO1SG
سنجدی	N$سنجد+SG YEH#SG COP2SG
سنجر	N$سنجر+SG
سنجرست	N$سنجر+SG COP3SG
سنجرش	N$سنجر+SG PRO3SG
سنجرم	N$سنجر+SG COP1SG#SG PRO1SG
سنجری	N$سنجر+SG YEH#SG COP2SG
سنجرید	N$سنجر+SG COP2PL
سنجریست	N$سنجر+SG YEH COP3SG
سنجش	N$سنج+SG PRO3SG*سنجش+SG
سنجشان	N$سنج+SG PRO3PL*سنجش+PL
سنجق	N$سنجق+SG
سنجقی	N$سنجق+SG YEH#SG COP2SG
سنجم	N$سنج+SG COP1SG#SG PRO1SG
سنجند	N$سنج+SG COP3PL
سنجی	N$سنج+SG YEH#SG COP2SG
سنجید	N$سنج+SG COP2PL
سنجیم	N$سنج+SG COP1PL#SG YEH COP1SG
سند	N$سند+SG
سندان	N$سندان+SG*سند+PL
سندانت	N$سندان+SG PRO2SG*سند+PL PRO2SG
سندانست	N$سندان+SG COP3SG*سند+PL COP3SG
سندانش	N$سندان+SG PRO3SG*سند+PL PRO3SG
سندانم	N$سندان+SG COP1SG#SG PRO1SG*سند+PL PRO1SG#PL COP1SG
سندانی	N$سندان+SG YEH#SG COP2SG*سند+PL YEH#PL COP2SG*سندانی+SG
سندانیست	N$سندان+SG YEH COP3SG*سند+PL YEH COP3SG*سندانی+SG COP3SG
سندان‌ها	N$سندان+PL
سندروس	N$سندروس+SG
سندروسست	N$سندروس+SG COP3SG
سندروسی	N$سندروس+SG YEH#SG COP2SG
سندس	N$سندس+SG
سندسی	N$سندس+SG YEH#SG COP2SG
سندش	N$سند+SG PRO3SG
سندل	N$سندل+SG
سندلی	N$سندل+SG YEH#SG COP2SG
سندی	N$سند+SG YEH#SG COP2SG*سندی+SG
سندیان	N$سندیان+SG*سندی+PL
سنست	N$سن+SG COP3SG
سنن	N$سنن+SG
سنه	N$سنه+SG
سنه‌ی	N$سنه+SG COP2SG#SG EZ
سنگ	N$سنگ+SG
سنگان	N$سنگ+PL*سنه+PL
سنگت	N$سنگ+SG PRO2SG
سنگتان	N$سنگ+SG PRO2PL
سنگر	N$سنگر+SG
سنگرا	N$سنگ+SG POSTP
سنگسار	N$سنگسار+SG
سنگساران	N$سنگسار+PL
سنگسارش	N$سنگسار+SG PRO3SG
سنگسارم	N$سنگسار+SG COP1SG#SG PRO1SG
سنگسارید	N$سنگسار+SG COP2PL
سنگست	N$سنگ+SG COP3SG
سنگستان	N$سنگستان+SG
سنگستم	N$سنگ+SG COP1SG
سنگستی	N$سنگ+SG COP2SG
سنگش	N$سنگ+SG PRO3SG
سنگشان	N$سنگ+SG PRO3PL
سنگم	N$سنگ+SG COP1SG#SG PRO1SG
سنگند	N$سنگ+SG COP3PL
سنگها	N$سنگ+PL
سنگهاست	N$سنگ+PL COP3SG
سنگهاش	N$سنگ+PL PRO3SG
سنگهاشان	N$سنگ+PL PRO3PL
سنگهای	N$سنگ+PL EZ#PL COP2SG
سنگهایت	N$سنگ+PL PRO2SG
سنگور	N$سنگور+SG
سنگچه	N$سنگچه+SG
سنگکی	N$سنگک+SG YEH#SG COP2SG
سنگی	N$سنگ+SG YEH#SG COP2SG
سنگید	N$سنگ+SG COP2PL
سنگیست	N$سنگ+SG YEH COP3SG
سنگیم	N$سنگ+SG COP1PL#SG YEH COP1SG
سنگیی	N$سنگ+SG YEH COP2SG
سنگ‌ام	N$سنگ+SG COP1SG
سنگ‌انداز	N$سنگ‌انداز+SG
سنگ‌باران	N$سنگ‌باران+SG
سنگ‌بست	N$سنگ‌بست+SG
سنگ‌خارا	N$سنگ‌خارا+SG
سنگ‌دلی	N$سنگ‌دلی+SG
سنگ‌ریزه	N$سنگ‌ریزه+SG
سنگ‌ریزه‌ش	N$سنگ‌ریزه+SG PRO3SG
سنگ‌لاخ	N$سنگ‌لاخ+SG
سنگ‌لاخی	N$سنگ‌لاخ+SG YEH#SG COP2SG
سنگ‌ها	N$سنگ+PL
سنگ‌های	N$سنگ+PL EZ#PL COP2SG
سنی	N$سن+SG YEH#SG COP2SG*سنی+SG
سنیان	N$سنی+PL
سنیست	N$سن+SG YEH COP3SG*سنی+SG COP3SG
سنین	N$سنین+SG
سنینش	N$سنین+SG PRO3SG
سها	N$سها+SG
سهائی	N$سها+SG YEH
سهات	N$سها+SG PRO2SG
سهاست	N$سها+SG COP3SG
سهاش	N$سها+SG PRO3SG
سهام	N$سهام+SG*سها+SG COP1SG#SG PRO1SG
سهای	N$سها+SG COP2SG#SG EZ
سهایی	N$سها+SG YEH
سهر	N$سهر+SG
سهراب	N$سهراب+SG
سهرابش	N$سهراب+SG PRO3SG
سهرابم	N$سهراب+SG COP1SG#SG PRO1SG
سهرابی	N$سهراب+SG YEH#SG COP2SG
سهرتم	N$سهر+SG PRO2SG COP1SG
سهرست	N$سهر+SG COP3SG
سهرش	N$سهر+SG PRO3SG
سهرم	N$سهر+SG COP1SG#SG PRO1SG
سهری	N$سهر+SG YEH#SG COP2SG
سهل	N$سهل+SG
سهلت	N$سهل+SG PRO2SG
سهلست	N$سهل+SG COP3SG
سهلش	N$سهل+SG PRO3SG
سهلی	N$سهل+SG YEH#SG COP2SG
سهم	N$سهم+SG
سهمت	N$سهم+SG PRO2SG
سهمش	N$سهم+SG PRO3SG
سهمشان	N$سهم+SG PRO3PL
سهمی	N$سهمی+SG*سهم+SG YEH#SG COP2SG
سهو	N$سهو+SG
سهوست	N$سهو+SG COP3SG
سهوش	N$سهو+SG PRO3SG
سهولت	N$سهولت+SG*سهول+SG PRO2SG
سهوم	N$سهو+SG COP1SG#SG PRO1SG
سهوی	N$سهو+SG COP2SG#SG EZ
سهویم	N$سهو+SG PRO1SG#SG COP1PL
سهی	N$سهی+SG
سهیش	N$سهی+SG PRO3SG
سهیل	N$سهیل+SG
سهیلت	N$سهیل+SG PRO2SG
سهیلست	N$سهیل+SG COP3SG
سهیلم	N$سهیل+SG COP1SG#SG PRO1SG
سهیلی	N$سهیل+SG YEH#SG COP2SG
سهیلیم	N$سهیل+SG COP1PL#SG YEH COP1SG
سه‌تا	N$سه‌تا+SG
سه‌تاست	N$سه‌تا+SG COP3SG
سه‌شنبد	N$سه‌شنبد+SG
سه‌شنبه	N$سه‌شنبه+SG
سه‌پایه	N$سه‌پایه+SG
سو	N$سو+SG
سوئی	N$سو+SG YEH
سوئیست	N$سو+SG YEH COP3SG*سوئیس+SG PRO2SG
سوابق	N$سوابق+SG
سواحل	N$سواحل+SG
سواد	N$سواد+SG
سوادت	N$سواد+SG PRO2SG
سوادش	N$سواد+SG PRO3SG
سوادی	N$سواد+SG YEH#SG COP2SG
سوار	N$سوار+SG
سواران	N$سوار+PL
سوارانش	N$سوار+PL PRO3SG
سوارانند	N$سوار+PL COP3PL
سوارانی	N$سوار+PL YEH#PL COP2SG
سوارت	N$سوار+SG PRO2SG
سوارست	N$سوار+SG COP3SG
سوارستی	N$سوار+SG COP2SG
سوارش	N$سوار+SG PRO3SG
سوارم	N$سوار+SG COP1SG#SG PRO1SG
سواره	N$سواره+SG
سواره‌ات	N$سواره+SG PRO2SG
سواره‌ای	N$سواره+SG COP2SG
سواره‌ایم	N$سواره+SG COP1PL
سواره‌ی	N$سواره+SG COP2SG#SG EZ
سواری	N$سواری+SG*سوار+SG YEH#SG COP2SG
سواریت	N$سواری+SG PRO2SG
سوارید	N$سوار+SG COP2PL
سواریست	N$سواری+SG COP3SG*سوار+SG YEH COP3SG
سواریش	N$سواری+SG PRO3SG
سواریم	N$سواری+SG COP1SG#SG PRO1SG*سوار+SG COP1PL#SG YEH COP1SG
سواریی	N$سواری+SG COP2SG#SG EZ*سوار+SG YEH COP2SG
سواری‌ست	N$سواری+SG COP3SG*سوار+SG YEH COP3SG
سواقی	N$سواقی+SG
سوال	N$سوال+SG
سوالانی	N$سوال+PL YEH#PL COP2SG
سوالت	N$سوال+SG PRO2SG
سوالست	N$سوال+SG COP3SG
سوالم	N$سوال+SG COP1SG#SG PRO1SG
سوالهاست	N$سوال+PL COP3SG
سوالی	N$سوال+SG YEH#SG COP2SG
سوالیست	N$سوال+SG YEH COP3SG
سوام	N$سوام+SG
سواک	N$سواک+SG
سواکم	N$سواک+SG COP1SG#SG PRO1SG
سوت	N$سو+SG PRO2SG*سوت+SG
سوخت	N$سوخت+SG*سوخ+SG PRO2SG
سوختست	N$سوخت+SG COP3SG*سوخ+SG PRO2SG COP3SG
سوختش	N$سوخت+SG PRO3SG
سوختم	N$سوخت+SG COP1SG#SG PRO1SG*سوخ+SG PRO2SG COP1SG
سوختمی	N$سوخت+SG PRO1SG COP2SG#SG PRO1SG YEH
سوختند	N$سوخت+SG COP3PL*سوخ+SG PRO2SG COP3PL
سوخته	N$سوخته+SG
سوخته‌ئی	N$سوخته+SG YEH
سوخته‌اش	N$سوخته+SG PRO3SG
سوخته‌ام	N$سوخته+SG COP1SG#SG PRO1SG
سوخته‌اند	N$سوخته+SG COP3PL
سوخته‌ای	N$سوخته+SG COP2SG
سوخته‌ایم	N$سوخته+SG COP1PL
سوخته‌ست	N$سوخته+SG COP3SG
سوخته‌ی	N$سوخته+SG COP2SG#SG EZ
سوخته‌یی	N$سوخته+SG YEH
سوختگان	N$سوخته+PL
سوختگانت	N$سوخته+PL PRO2SG
سوختگانرا	N$سوخته+PL POSTP
سوختگانی	N$سوخته+PL YEH#PL COP2SG
سوختگانیم	N$سوخته+PL YEH COP1SG#PL COP1PL
سوختگی	N$سوختگی+SG
سوختگیهای	N$سوختگی+PL EZ#PL COP2SG
سوختی	N$سوخت+SG YEH#SG COP2SG*سوخ+SG PRO2SG YEH#SG PRO2SG COP2SG
سوختید	N$سوخت+SG COP2PL*سوخ+SG PRO2SG COP2PL
سوختیم	N$سوخت+SG COP1PL#SG YEH COP1SG*سوخ+SG PRO2SG COP1PL#SG PRO2SG YEH COP1SG
سود	N$سود+SG
سودا	N$سودا+SG
سودائی	N$سودا+SG YEH
سودائیست	N$سودا+SG YEH COP3SG
سودائیی	N$سودا+SG YEH COP2SG
سودابه	N$سودابه+SG
سودابه‌ی	N$سودابه+SG COP2SG#SG EZ
سودات	N$سوده+PL*سودا+SG PRO2SG
سودازدگی	N$سودازدگی+SG
سوداست	N$سودا+SG COP3SG
سوداستی	N$سودا+SG COP2SG
سوداش	N$سودا+SG PRO3SG
سودام	N$سودا+SG COP1SG#SG PRO1SG
سودانیست	N$سودانی+SG COP3SG*سودان+SG YEH COP3SG*سود+PL YEH COP3SG
سوداها	N$سودا+PL
سوداهاستی	N$سودا+PL COP2SG
سوداهای	N$سودا+PL EZ#PL COP2SG
سوداپرست	N$سوداپرست+SG
سوداگر	N$سوداگر+SG
سوداگران	N$سوداگر+PL
سوداگرت	N$سوداگر+SG PRO2SG
سوداگری	N$سوداگر+SG YEH#SG COP2SG*سوداگری+SG
سوداگریست	N$سوداگر+SG YEH COP3SG*سوداگری+SG COP3SG
سوداگریم	N$سوداگر+SG COP1PL#SG YEH COP1SG*سوداگری+SG COP1SG#SG PRO1SG
سودای	N$سودا+SG COP2SG#SG EZ
سودایت	N$سودا+SG PRO2SG
سودایش	N$سودا+SG PRO3SG
سودایی	N$سودایی+SG*سودا+SG YEH
سوداییان	N$سودایی+PL
سوداییانش	N$سودایی+PL PRO3SG
سوداییانی	N$سودایی+PL YEH#PL COP2SG
سوداییست	N$سودایی+SG COP3SG*سودا+SG YEH COP3SG
سوداییم	N$سودایی+SG COP1SG#SG PRO1SG*سودا+SG YEH COP1SG
سوداییی	N$سودایی+SG COP2SG#SG EZ*سودا+SG YEH COP2SG
سودایییم	N$سودایی+SG PRO1SG#SG COP1PL*سودا+SG YEH COP1PL
سودت	N$سود+SG PRO2SG
سودست	N$سود+SG COP3SG
سودستی	N$سود+SG COP2SG
سودش	N$سود+SG PRO3SG
سودشان	N$سود+SG PRO3PL
سودم	N$سود+SG COP1SG#SG PRO1SG
سودمان	N$سود+SG PRO1PL
سودمند	N$سود+SG PRO1SG COP3PL
سودمندی	N$سودمندی+SG
سودمندیست	N$سودمندی+SG COP3SG
سودمی	N$سود+SG PRO1SG COP2SG#SG PRO1SG YEH
سودند	N$سود+SG COP3PL
سوده	N$سوده+SG
سودها	N$سود+PL
سودهاست	N$سود+PL COP3SG
سوده‌ام	N$سوده+SG COP1SG#SG PRO1SG
سوده‌ای	N$سوده+SG COP2SG
سوده‌ایم	N$سوده+SG COP1PL
سوده‌ست	N$سوده+SG COP3SG
سوده‌ی	N$سوده+SG COP2SG#SG EZ
سودی	N$سودی+SG*سود+SG YEH#SG COP2SG
سودیت	N$سودی+SG PRO2SG
سودیست	N$سودی+SG COP3SG*سود+SG YEH COP3SG
سودیش	N$سودی+SG PRO3SG
سور	N$سور+SG
سوراخ	N$سوراخ+SG
سوراخست	N$سوراخ+SG COP3SG
سوراخش	N$سوراخ+SG PRO3SG
سوراخها	N$سوراخ+PL
سوراخهای	N$سوراخ+PL EZ#PL COP2SG
سوراخی	N$سوراخ+SG YEH#SG COP2SG
سوراخ‌ها	N$سوراخ+PL
سوران	N$سور+PL*سوران+SG
سورت	N$سور+SG PRO2SG*سورت+SG
سورتی	N$سور+SG PRO2SG YEH#SG PRO2SG COP2SG*سورت+SG YEH#SG COP2SG
سورست	N$سور+SG COP3SG
سورش	N$سور+SG PRO3SG
سورم	N$سور+SG COP1SG#SG PRO1SG
سوره	N$سوره+SG
سورها	N$سور+PL
سوره‌ای	N$سوره+SG COP2SG
سوره‌ی	N$سوره+SG COP2SG#SG EZ
سوری	N$سور+SG YEH#SG COP2SG*سوری+SG
سوریان	N$سوری+PL
سوریت	N$سوری+SG PRO2SG
سوریست	N$سور+SG YEH COP3SG*سوری+SG COP3SG
سوریش	N$سوری+SG PRO3SG
سوریم	N$سور+SG COP1PL#SG YEH COP1SG*سوری+SG COP1SG#SG PRO1SG
سوز	N$سوز+SG
سوزان	N$سوزان+SG*سوز+PL
سوزانت	N$سوزان+SG PRO2SG*سوز+PL PRO2SG
سوزانش	N$سوزان+SG PRO3SG*سوز+PL PRO3SG
سوزانم	N$سوزان+SG COP1SG#SG PRO1SG*سوز+PL PRO1SG#PL COP1SG
سوزانند	N$سوزان+SG COP3PL*سوز+PL COP3PL
سوزانی	N$سوزانی+SG*سوزان+SG YEH#SG COP2SG*سوز+PL YEH#PL COP2SG
سوزانیم	N$سوزانی+SG COP1SG#SG PRO1SG*سوزان+SG COP1PL#SG YEH COP1SG*سوز+PL YEH COP1SG#PL COP1PL
سوزت	N$سوز+SG PRO2SG
سوزست	N$سوز+SG COP3SG
سوزش	N$سوزش+SG*سوز+SG PRO3SG
سوزشان	N$سوزش+PL*سوز+SG PRO3PL
سوزشت	N$سوزش+SG PRO2SG
سوزشی	N$سوزش+SG YEH#SG COP2SG*سوز+SG PRO3SG YEH#SG PRO3SG COP2SG
سوزش‌شان	N$سوزش+SG PRO3PL
سوزم	N$سوز+SG COP1SG#SG PRO1SG
سوزمی	N$سوز+SG PRO1SG COP2SG#SG PRO1SG YEH
سوزن	N$سوزن+SG
سوزنان	N$سوزن+PL
سوزنت	N$سوزن+SG PRO2SG
سوزند	N$سوز+SG COP3PL
سوزندگی	N$سوزندگی+SG
سوزنست	N$سوزن+SG COP3SG
سوزنش	N$سوزن+SG PRO3SG
سوزنشان	N$سوزن+SG PRO3PL
سوزنم	N$سوزن+SG COP1SG#SG PRO1SG
سوزنند	N$سوزن+SG COP3PL
سوزنهای	N$سوزن+PL EZ#PL COP2SG
سوزنی	N$سوزنی+SG*سوزن+SG YEH#SG COP2SG
سوزنیست	N$سوزنی+SG COP3SG*سوزن+SG YEH COP3SG
سوزنیم	N$سوزنی+SG COP1SG#SG PRO1SG*سوزن+SG COP1PL#SG YEH COP1SG
سوزن‌های	N$سوزن+PL EZ#PL COP2SG
سوزن‌گر	N$سوزن‌گر+SG
سوزه	N$سوزه+SG
سوزها	N$سوز+PL
سوزهاست	N$سوز+PL COP3SG
سوزی	N$سوز+SG YEH#SG COP2SG
سوزیان	N$سوزیان+SG
سوزیانش	N$سوزیان+SG PRO3SG
سوزید	N$سوز+SG COP2PL
سوزیست	N$سوز+SG YEH COP3SG
سوزیم	N$سوز+SG COP1PL#SG YEH COP1SG
سوزی‌ست	N$سوز+SG YEH COP3SG
سوس	N$سوس+SG
سوست	N$سوس+SG PRO2SG*سو+SG COP3SG
سوسن	N$سوسن+SG
سوسنان	N$سوسن+PL
سوسنست	N$سوسن+SG COP3SG
سوسنش	N$سوسن+SG PRO3SG
سوسنم	N$سوسن+SG COP1SG#SG PRO1SG
سوسنه	N$سوسنه+SG
سوسنک	N$سوسنک+SG
سوسنی	N$سوسن+SG YEH#SG COP2SG
سوسنیم	N$سوسن+SG COP1PL#SG YEH COP1SG
سوسن‌ها	N$سوسن+PL
سوسی	N$سوس+SG YEH#SG COP2SG
سوش	N$سو+SG PRO3SG*سوش+SG
سوشان	N$سو+SG PRO3PL*سوش+PL
سوغات	N$سوغه+PL*سوغات+SG
سوف	N$سوف+SG
سوفار	N$سوفار+SG
سوفارش	N$سوفار+SG PRO3SG
سوق	N$سوق+SG
سوقی	N$سوق+SG YEH#SG COP2SG*سوقی+SG
سوقیی	N$سوق+SG YEH COP2SG*سوقی+SG COP2SG#SG EZ
سول	N$سول+SG
سولان	N$سول+PL
سوم	N$سوم+SG*سو+SG COP1SG#SG PRO1SG
سومان	N$سوم+PL*سو+SG PRO1PL
سومی	N$سوم+SG YEH#SG COP2SG*سو+SG PRO1SG COP2SG#SG PRO1SG YEH
سوم‌شان	N$سوم+SG PRO3PL
سونش	N$سونش+SG
سوها	N$سو+PL
سوهان	N$سوهان+SG
سوهانست	N$سوهان+SG COP3SG
سوهانش	N$سوهان+SG PRO3SG
سوهانم	N$سوهان+SG COP1SG#SG PRO1SG
سوهانی	N$سوهان+SG YEH#SG COP2SG
سوکه	N$سو+SG CONJ*سوکه+SG
سوگ	N$سوگ+SG
سوگند	N$سوگند+SG*سوگ+SG COP3PL
سوگندان	N$سوگند+PL
سوگندت	N$سوگند+SG PRO2SG
سوگندست	N$سوگند+SG COP3SG
سوگندش	N$سوگند+SG PRO3SG
سوگندشان	N$سوگند+SG PRO3PL
سوگندم	N$سوگند+SG COP1SG#SG PRO1SG
سوگندها	N$سوگند+PL
سوگندهائی	N$سوگند+PL YEH
سوگندهای	N$سوگند+PL EZ#PL COP2SG
سوگندی	N$سوگند+SG YEH#SG COP2SG
سوگندیم	N$سوگند+SG COP1PL#SG YEH COP1SG
سوگواری	N$سوگواری+SG
سوی	N$سو+SG COP2SG#SG EZ*سوی+SG
سویا	N$سویا+SG
سویت	N$سو+SG PRO2SG*سوی+SG PRO2SG*سویت+SG
سویست	N$سوی+SG COP3SG
سویش	N$سو+SG PRO3SG*سوی+SG PRO3SG
سویشان	N$سو+SG PRO3PL*سوی+SG PRO3PL
سویق	N$سویق+SG
سویم	N$سو+SG PRO1SG#SG COP1PL*سوی+SG COP1SG#SG PRO1SG
سویها	N$سوی+PL
سویگان	N$سویه+PL
سویی	N$سو+SG YEH*سوی+SG COP2SG#SG EZ
سوییست	N$سو+SG YEH COP3SG
سوییش	N$سوی+SG PRO3SG
سوی‌ست	N$سوی+SG COP3SG
سوی‌ها	N$سوی+PL
سپار	N$سپار+SG
سپاران	N$سپار+PL
سپارش	N$سپارش+SG*سپار+SG PRO3SG
سپارم	N$سپار+SG COP1SG#SG PRO1SG
سپارند	N$سپار+SG COP3PL
سپاره	N$سپاره+SG
سپاری	N$سپار+SG YEH#SG COP2SG
سپارید	N$سپار+SG COP2PL
سپاریم	N$سپار+SG COP1PL#SG YEH COP1SG
سپاریی	N$سپار+SG YEH COP2SG
سپاس	N$سپاس+SG
سپاست	N$سپاس+SG PRO2SG
سپاسش	N$سپاس+SG PRO3SG
سپاسم	N$سپاس+SG COP1SG#SG PRO1SG
سپاسی	N$سپاس+SG YEH#SG COP2SG
سپاه	N$سپاه+SG
سپاهان	N$سپاهان+SG
سپاهانش	N$سپاهان+SG PRO3SG
سپاهانم	N$سپاهان+SG COP1SG#SG PRO1SG
سپاهانی	N$سپاهانی+SG*سپاهان+SG YEH#SG COP2SG
سپاهت	N$سپاه+SG PRO2SG
سپاهش	N$سپاه+SG PRO3SG
سپاهم	N$سپاه+SG PRO1SG
سپر	N$سپر+SG
سپران	N$سپر+PL
سپرت	N$سپر+SG PRO2SG
سپردار	N$سپردار+SG
سپرداری	N$سپردار+SG YEH#SG COP2SG*سپرداری+SG
سپرده	N$سپرده+SG
سپرده‌ام	N$سپرده+SG COP1SG#SG PRO1SG
سپرده‌اند	N$سپرده+SG COP3PL
سپرده‌ای	N$سپرده+SG COP2SG
سپرده‌ایم	N$سپرده+SG COP1PL
سپرست	N$سپر+SG COP3SG
سپرش	N$سپر+SG PRO3SG
سپرغم	N$سپرغم+SG
سپرغمند	N$سپرغم+SG COP3PL
سپرم	N$سپر+SG COP1SG#SG PRO1SG*سپرم+SG
سپرند	N$سپر+SG COP3PL
سپرها	N$سپر+PL
سپرهای	N$سپر+PL EZ#PL COP2SG
سپرک	N$سپرک+SG
سپری	N$سپر+SG YEH#SG COP2SG
سپرید	N$سپر+SG COP2PL
سپریم	N$سپر+SG COP1PL#SG YEH COP1SG
سپست	N$سپست+SG
سپستان	N$سپستان+SG*سپست+PL
سپستم	N$سپست+SG COP1SG#SG PRO1SG
سپل	N$سپل+SG
سپنج	N$سپنج+SG
سپنجست	N$سپنج+SG COP3SG
سپنجم	N$سپنج+SG COP1SG#SG PRO1SG
سپنجی	N$سپنج+SG YEH#SG COP2SG
سپنجیست	N$سپنج+SG YEH COP3SG
سپنج‌سرای	N$سپنج‌سرا+SG COP2SG#SG EZ
سپندارمذ	N$سپندارمذ+SG
سپهبدان	N$سپهبدان+SG
سپهدار	N$سپهدار+SG
سپهداران	N$سپهدار+PL
سپهدارشان	N$سپهدار+SG PRO3PL
سپهداری	N$سپهدار+SG YEH#SG COP2SG
سپهر	N$سپهر+SG
سپهرت	N$سپهر+SG PRO2SG
سپهرست	N$سپهر+SG COP3SG
سپهرستی	N$سپهر+SG COP2SG
سپهرش	N$سپهر+SG PRO3SG
سپهرم	N$سپهرم+SG*سپهر+SG COP1SG#SG PRO1SG
سپهرند	N$سپهر+SG COP3PL
سپهری	N$سپهر+SG YEH#SG COP2SG
سپهرید	N$سپهر+SG COP2PL
سپهریست	N$سپهر+SG YEH COP3SG
سپهریم	N$سپهر+SG COP1PL#SG YEH COP1SG
سپهری‌ست	N$سپهر+SG YEH COP3SG
سپهسالار	N$سپهسالار+SG
سپه‌سالار	N$سپه‌سالار+SG
سپیدان	N$سپیدان+SG
سپیده	N$سپیده+SG
سپیده‌دم	N$سپیده‌دم+SG
سپیده‌دمان	N$سپیده‌دمان+SG*سپیده‌دم+PL
سپیده‌دمست	N$سپیده‌دم+SG COP3SG
سپیده‌دمی	N$سپیده‌دم+SG YEH#SG COP2SG
سپیده‌ی	N$سپیده+SG COP2SG#SG EZ
سپیدی	N$سپیدی+SG
سپیدیتان	N$سپیدی+SG PRO2PL
سپیدیست	N$سپیدی+SG COP3SG
سپیدیش	N$سپیدی+SG PRO3SG
سپیدیم	N$سپیدی+SG COP1SG#SG PRO1SG
سک	N$سک+SG
سکاری	N$سکار+SG YEH#SG COP2SG
سکال	N$سکال+SG
سکالانش	N$سکال+PL PRO3SG
سکالند	N$سکال+SG COP3PL
سکالی	N$سکال+SG YEH#SG COP2SG
سکان	N$سکان+SG*سک+PL
سکانش	N$سکان+SG PRO3SG*سک+PL PRO3SG
سکاهن	N$سکاهن+SG
سکاهنی	N$سکاهن+SG YEH#SG COP2SG
سکاک	N$سکاک+SG
سکبا	N$سکبا+SG
سکباج	N$سکباج+SG
سکباجم	N$سکباج+SG COP1SG#SG PRO1SG
سکباش	N$سکبا+SG PRO3SG
سکبای	N$سکبا+SG COP2SG#SG EZ
سکت	N$سکت+SG*سک+SG PRO2SG
سکته	N$سکته+SG
سکته‌ای	N$سکته+SG COP2SG
سکر	N$سکر+SG
سکرا	N$سک+SG POSTP
سکرات	N$سکره+PL*سکرات+SG
سکراتش	N$سکره+PL PRO3SG*سکرات+SG PRO3SG
سکراتی	N$سکره+PL YEH#PL COP2SG*سکرات+SG YEH#SG COP2SG
سکران	N$سکر+PL
سکرانم	N$سکر+PL PRO1SG#PL COP1SG
سکرت	N$سکرت+SG*سکر+SG PRO2SG
سکرتم	N$سکرت+SG COP1SG#SG PRO1SG*سکر+SG PRO2SG COP1SG
سکرست	N$سکر+SG COP3SG
سکره	N$سکره+SG
