آباد	AJ$آباد+POS
روشنیست	AJ$روشن+POS YEH COP3SG
روشنیم	AJ$روشن+POS COP1PL#POS YEH COP1SG
روشنیی	AJ$روشن+POS YEH COP2SG
روشنی‌ست	AJ$روشن+POS YEH COP3SG
روشنی‌ی	AJ$روشن+POS YEH COP2SG
روشن‌اند	AJ$روشن+POS COP3PL
روشن‌بین	AJ$روشن‌بین+POS
روشن‌تر	AJ$روشن+COMP
روشن‌ترست	AJ$روشن+COMP COP3SG
روشن‌ترم	AJ$روشن+COMP COP1SG#COMP PRO1SG
روشن‌تری	AJ$روشن+COMP COP2SG#COMP YEH
روشن‌ترین	AJ$روشن+SUP
روشن‌دل	AJ$روشن‌دل+POS
روشن‌دلی	AJ$روشن‌دل+POS YEH#POS COP2SG
روشن‌روان	AJ$روشن‌روان+POS
روشن‌روانش	AJ$روشن‌روان+POS PRO3SG
روشن‌ست	AJ$روشن+POS COP3SG
روشن‌ضمیر	AJ$روشن‌ضمیر+POS
روشی	AJ$روشی+POS
روغنی	AJ$روغنی+POS
روغنیست	AJ$روغنی+POS COP3SG
روغنیم	AJ$روغنی+POS PRO1SG#POS COP1SG
روغنینم	AJ$روغنین+POS PRO1SG#POS COP1SG
روفته	AJ$روفته+POS
رومی	AJ$رومی+POS
رومیت	AJ$رومی+POS PRO2SG
رومیست	AJ$رومی+POS COP3SG
رومیش	AJ$رومی+POS PRO3SG
رومیی	AJ$رومی+POS EZ#POS COP2SG
روند	AJ$روند+POS
روندست	AJ$روند+POS COP3SG
رونده	AJ$رونده+POS
رونده‌ای	AJ$رونده+POS COP2SG
رونده‌تر	AJ$رونده+COMP
رونده‌ی	AJ$رونده+POS EZ#POS COP2SG
رویا	AJ$رویا+POS
رویان	AJ$رویان+POS
رویاند	AJ$رویا+POS COP3PL
رویانست	AJ$رویان+POS COP3SG
رویانم	AJ$رویان+POS PRO1SG#POS COP1SG
رویانند	AJ$رویان+POS COP3PL
رویانی	AJ$رویان+POS YEH#POS COP2SG
رویانید	AJ$رویان+POS COP2PL
روینده	AJ$روینده+POS
روییده	AJ$روییده+POS
رویین‌تن	AJ$رویین‌تن+POS
رویین‌تنست	AJ$رویین‌تن+POS COP3SG
رویین‌تنم	AJ$رویین‌تن+POS PRO1SG#POS COP1SG
روی‌زرد	AJ$روی‌زرد+POS
رک	AJ$رک+POS
رکابدار	AJ$رکابدار+POS
رکابی	AJ$رکابی+POS
رکش	AJ$رک+POS PRO3SG
رکیک	AJ$رکیک+POS
رکیکست	AJ$رکیک+POS COP3SG
رکیکی	AJ$رکیک+POS YEH#POS COP2SG
رکیکیست	AJ$رکیک+POS YEH COP3SG
ریاضی	AJ$ریاضی+POS
ریاضی‌ست	AJ$ریاضی+POS COP3SG
ریاکار	AJ$ریاکار+POS
ریاکاری	AJ$ریاکار+POS YEH#POS COP2SG
ریختنی	AJ$ریختنی+POS
ریخته	AJ$ریخته+POS
ریخته‌ئی	AJ$ریخته+POS YEH
ریخته‌است	AJ$ریخته+POS COP3SG
ریخته‌ام	AJ$ریخته+POS PRO1SG#POS COP1SG
ریخته‌اند	AJ$ریخته+POS COP3PL
ریخته‌ای	AJ$ریخته+POS COP2SG
ریخته‌ایم	AJ$ریخته+POS COP1PL
ریخته‌ست	AJ$ریخته+POS COP3SG
ریخته‌شان	AJ$ریخته+POS PRO3PL
ریخته‌ی	AJ$ریخته+POS EZ#POS COP2SG
ریده‌ای	AJ$ریده+POS COP2SG
ریده‌ست	AJ$ریده+POS COP3SG
ریز	AJ$ریز+POS
ریزت	AJ$ریز+POS PRO2SG
ریزتر	AJ$ریز+COMP
ریزریز	AJ$ریزریز+POS
ریزش	AJ$ریز+POS PRO3SG
ریزشی	AJ$ریز+POS PRO3SG COP2SG#POS PRO3SG YEH
ریزم	AJ$ریز+POS PRO1SG#POS COP1SG
ریزند	AJ$ریز+POS COP3PL
ریزه	AJ$ریزه+POS
ریزه‌ات	AJ$ریزه+POS PRO2SG
ریزه‌اش	AJ$ریزه+POS PRO3SG
ریزه‌ام	AJ$ریزه+POS PRO1SG#POS COP1SG
ریزه‌ای	AJ$ریزه+POS COP2SG
ریزه‌ست	AJ$ریزه+POS COP3SG
ریزه‌ی	AJ$ریزه+POS EZ#POS COP2SG
ریزی	AJ$ریز+POS YEH#POS COP2SG
ریزید	AJ$ریز+POS COP2PL
ریزیم	AJ$ریز+POS COP1PL#POS YEH COP1SG
ریزیی	AJ$ریز+POS YEH COP2SG
ریزییم	AJ$ریز+POS YEH COP1PL
ریسیده‌ایم	AJ$ریسیده+POS COP1PL
ریش	AJ$ریش+POS
ریشت	AJ$ریش+POS PRO2SG
ریشتر	AJ$ریش+COMP
ریشست	AJ$ریش+POS COP3SG
ریشش	AJ$ریش+POS PRO3SG
ریشم	AJ$ریش+POS PRO1SG#POS COP1SG
ریشند	AJ$ریش+POS COP3PL
ریشو	AJ$ریشو+POS
ریشی	AJ$ریش+POS YEH#POS COP2SG
ریش‌تر	AJ$ریش+COMP
ریش‌ست	AJ$ریش+POS COP3SG
ریمن	AJ$ریمن+POS
ریمناک	AJ$ریمناک+POS
ریمنست	AJ$ریمن+POS COP3SG
ریمنش	AJ$ریمن+POS PRO3SG
ریمنم	AJ$ریمن+POS PRO1SG#POS COP1SG
ریمنند	AJ$ریمن+POS COP3PL
ریمنی	AJ$ریمن+POS YEH#POS COP2SG
ریگی	AJ$ریگی+POS
ریگیست	AJ$ریگی+POS COP3SG
ز	AJ$+PREP POS
زآتشی	AJ$آتشی+PREP POS
زآتش‌انگیز	AJ$آتش‌انگیز+PREP POS
زآرام	AJ$آرام+PREP POS
زآسانی	AJ$آسان+PREP POS COP2SG#PREP POS YEH
زآمده	AJ$آمده+PREP POS
زآنگونه	AJ$آنگونه+PREP POS
زائد	AJ$زائد+POS
زابرش	AJ$ابرش+PREP POS
زابریشم	AJ$ابری+PREP POS PRO3SG COP1SG
زابی	AJ$ابی+PREP POS
زاجر	AJ$زاجر+POS
زاد	AJ$زاد+POS
زادت	AJ$زاد+POS PRO2SG
زادتر	AJ$زاد+COMP
زادست	AJ$زاد+POS COP3SG
زادستم	AJ$زاد+POS COP1SG
زادستی	AJ$زاد+POS COP2SG
زادش	AJ$زاد+POS PRO3SG
زادشم	AJ$زاد+POS PRO3SG COP1SG
زادم	AJ$زاد+POS PRO1SG#POS COP1SG
زادمان	AJ$زاد+POS PRO1PL
زادمی	AJ$زاد+POS PRO1SG YEH#POS PRO1SG COP2SG
زادند	AJ$زاد+POS COP3PL
زادنی	AJ$ادنی+PREP POS
زادنیست	AJ$ادنی+PREP POS COP3SG
زاده	AJ$زاده+POS
زاده‌اش	AJ$زاده+POS PRO3SG
زاده‌ام	AJ$زاده+POS PRO1SG#POS COP1SG
زاده‌اند	AJ$زاده+POS COP3PL
زاده‌ای	AJ$زاده+POS COP2SG
زاده‌ایم	AJ$زاده+POS COP1PL
زاده‌ست	AJ$زاده+POS COP3SG
زاده‌ی	AJ$زاده+POS EZ#POS COP2SG
زادی	AJ$زاد+POS YEH#POS COP2SG
زادیست	AJ$زاد+POS YEH COP3SG
زادیم	AJ$زاد+POS COP1PL#POS YEH COP1SG
زار	AJ$زار+POS
زارت	AJ$زار+POS PRO2SG
زارتان	AJ$زار+POS PRO2PL
زارتر	AJ$زار+COMP
زارترست	AJ$زار+COMP COP3SG
زارترم	AJ$زار+COMP COP1SG#COMP PRO1SG
زارست	AJ$زار+POS COP3SG
زارستی	AJ$زار+POS COP2SG
زارش	AJ$زار+POS PRO3SG
زارم	AJ$زار+POS PRO1SG#POS COP1SG
زارند	AJ$زار+POS COP3PL
زاری	AJ$زار+POS YEH#POS COP2SG
زارید	AJ$زار+POS COP2PL
زاریست	AJ$زار+POS YEH COP3SG
زاریم	AJ$زار+POS COP1PL#POS YEH COP1SG
زاریی	AJ$زار+POS YEH COP2SG
زاستاد	AJ$استاد+PREP POS
زاصل	AJ$اصل+PREP POS
زاغ	AJ$زاغ+POS
زاغت	AJ$زاغ+POS PRO2SG
زاغست	AJ$زاغ+POS COP3SG
زاغش	AJ$زاغ+POS PRO3SG
زاغم	AJ$زاغ+POS PRO1SG#POS COP1SG
زاغند	AJ$زاغ+POS COP3PL
زاغی	AJ$زاغ+POS YEH#POS COP2SG*زاغی+POS
زاغیم	AJ$زاغ+POS COP1PL#POS YEH COP1SG*زاغی+POS PRO1SG#POS COP1SG
زامثال	AJ$امثال+PREP POS
زانقدم	AJ$انقد+PREP POS COP1SG#PREP POS PRO1SG
زانی	AJ$انی+PREP POS
زانیش	AJ$انی+PREP POS PRO3SG
زاهد	AJ$زاهد+POS
زاهدش	AJ$زاهد+POS PRO3SG
زاهدم	AJ$زاهد+POS PRO1SG#POS COP1SG
زاهده‌ای	AJ$زاهده+POS COP2SG
زاهده‌ست	AJ$زاهده+POS COP3SG
زاهدی	AJ$زاهد+POS YEH#POS COP2SG
زاهدید	AJ$زاهد+POS COP2PL
زاهدیست	AJ$زاهد+POS YEH COP3SG
زاهر	AJ$زاهر+POS
زاهرم	AJ$زاهر+POS PRO1SG#POS COP1SG
زاهق	AJ$زاهق+POS
زاهل	AJ$اهل+PREP POS
زاو	AJ$زاو+POS
زاوحدی	AJ$اوحد+PREP POS COP2SG#PREP POS YEH
زاوش	AJ$زاو+POS PRO3SG
زاول	AJ$اول+PREP POS
زاولش	AJ$اول+PREP POS PRO3SG
زاولی	AJ$اولی+PREP POS*اول+PREP POS COP2SG#PREP POS YEH
زاولین	AJ$اولین+PREP POS
زاکی	AJ$زاکی+POS
زاکیستی	AJ$زاکی+POS COP2SG
زاید	AJ$زاید+POS
زایدت	AJ$زاید+POS PRO2SG
زایدست	AJ$زاید+POS COP3SG
زایدش	AJ$زاید+POS PRO3SG
زایل	AJ$ایل+PREP POS*زایل+POS
زایلست	AJ$ایل+PREP POS COP3SG*زایل+POS COP3SG
زاینده	AJ$زاینده+POS
زاینده‌است	AJ$زاینده+POS COP3SG
زاینده‌ی	AJ$زاینده+POS EZ#POS COP2SG
زاییده	AJ$زاییده+POS
زاییده‌ام	AJ$زاییده+POS PRO1SG#POS COP1SG
زاییده‌اند	AJ$زاییده+POS COP3PL
زباب	AJ$باب+PREP POS
زباطل	AJ$باطل+PREP POS
زبانی	AJ$زبانی+POS
زبانیت	AJ$زبانی+POS PRO2SG
زبانیست	AJ$زبانی+POS COP3SG
زبانیش	AJ$زبانی+POS PRO3SG
زبانیم	AJ$زبانی+POS PRO1SG#POS COP1SG
زبانیند	AJ$زبانی+POS COP3PL
زبانیی	AJ$زبانی+POS EZ#POS COP2SG
زبانی‌ست	AJ$زبانی+POS COP3SG
زبان‌آور	AJ$زبان‌آور+POS
زبان‌آوری	AJ$زبان‌آور+POS YEH#POS COP2SG
زبان‌درازی	AJ$زبان‌دراز+POS YEH#POS COP2SG
زبد	AJ$بد+PREP POS
زبدخواه	AJ$بدخواه+PREP POS
زبده	AJ$زبده+POS
زبده‌ای	AJ$زبده+POS COP2SG
زبده‌ی	AJ$زبده+POS EZ#POS COP2SG
زبر	AJ$زبر+POS*بر+PREP POS
زبران	AJ$بران+PREP POS
زبرت	AJ$زبر+POS PRO2SG*بر+PREP POS PRO2SG
زبرتر	AJ$زبر+COMP*برتر+PREP POS*بر+PREP COMP
زبرترست	AJ$زبر+COMP COP3SG*برتر+PREP POS COP3SG*بر+PREP COMP COP3SG
زبردست	AJ$زبردست+POS
زبردستم	AJ$زبردست+POS PRO1SG#POS COP1SG
زبردستی	AJ$زبردست+POS YEH#POS COP2SG
زبردستیی	AJ$زبردست+POS YEH COP2SG
زبرست	AJ$زبر+POS COP3SG*بر+PREP POS COP3SG
زبرش	AJ$زبر+POS PRO3SG*بر+PREP POS PRO3SG
زبرم	AJ$زبر+POS PRO1SG#POS COP1SG*بر+PREP POS COP1SG#PREP POS PRO1SG
زبرنا	AJ$برنا+PREP POS
زبرند	AJ$زبر+POS COP3PL*بر+PREP POS COP3PL
زبری	AJ$زبر+POS YEH#POS COP2SG*بری+PREP POS*بر+PREP POS COP2SG#PREP POS YEH
زبریم	AJ$زبر+POS COP1PL#POS YEH COP1SG*بری+PREP POS COP1SG#PREP POS PRO1SG*بر+PREP POS COP1PL#PREP POS YEH COP1SG
زبرین	AJ$زبرین+POS*برین+PREP POS
زبعد	AJ$بعد+PREP POS
زبه	AJ$به+PREP POS
زبور	AJ$بور+PREP POS
زبورم	AJ$بور+PREP POS COP1SG#PREP POS PRO1SG
زبوری	AJ$بور+PREP POS COP2SG#PREP POS YEH
زبون	AJ$زبون+POS
زبونت	AJ$زبون+POS PRO2SG
زبونتر	AJ$زبون+COMP
زبونست	AJ$زبون+POS COP3SG
زبونش	AJ$زبون+POS PRO3SG
زبونم	AJ$زبون+POS PRO1SG#POS COP1SG
زبونند	AJ$زبون+POS COP3PL
زبونی	AJ$زبون+POS YEH#POS COP2SG
زبونیست	AJ$زبون+POS YEH COP3SG
زبونیم	AJ$زبون+POS COP1PL#POS YEH COP1SG
زبون‌تر	AJ$زبون+COMP
زبیب	AJ$زبیب+POS
زبیمارش	AJ$بیمار+PREP POS PRO3SG
زبیننده	AJ$بیننده+PREP POS
زبیگانه	AJ$بیگانه+PREP POS
زتخت	AJ$تخت+PREP POS
زتختت	AJ$تخت+PREP POS PRO2SG
زتختی	AJ$تخت+PREP POS COP2SG#PREP POS YEH
زتری	AJ$+PREP COMP COP2SG#PREP COMP YEH*تر+PREP POS COP2SG#PREP POS YEH
زتست	AJ$+PREP POS PRO2SG COP3SG
زتنگ	AJ$تنگ+PREP POS
زتونی	AJ$تونی+PREP POS
زتیره	AJ$تیره+PREP POS
زتیزی	AJ$تیز+PREP POS COP2SG#PREP POS YEH
زجاجی	AJ$زجاجی+POS
زجاهل	AJ$جاهل+PREP POS
زجدایی	AJ$جدا+PREP POS YEH
زجری	AJ$جری+PREP POS
زجهان	AJ$جهان+PREP POS
زجهانی	AJ$جهانی+PREP POS*جهان+PREP POS COP2SG#PREP POS YEH
زجور	AJ$جور+PREP POS
زحامی	AJ$حامی+PREP POS
زحق	AJ$حق+PREP POS
زحل	AJ$حل+PREP POS
زحلت	AJ$حل+PREP POS PRO2SG
زحلش	AJ$حل+PREP POS PRO3SG
زحلی	AJ$حل+PREP POS COP2SG#PREP POS YEH
زحیران	AJ$حیران+PREP POS
زخار	AJ$زخار+POS*خار+PREP POS
زخارت	AJ$زخار+POS PRO2SG*خار+PREP POS PRO2SG
زخانی	AJ$خانی+PREP POS
زخاک	AJ$خاک+PREP POS
زخاکی	AJ$خاکی+PREP POS*خاک+PREP POS COP2SG#PREP POS YEH
زخجلت	AJ$خجل+PREP POS PRO2SG
زخرد	AJ$خرد+PREP POS
زخرف	AJ$خرف+PREP POS
زخست	AJ$خس+PREP POS PRO2SG
زخشکی	AJ$خشک+PREP POS COP2SG#PREP POS YEH
زخل	AJ$خل+PREP POS
زخلق	AJ$خلق+PREP POS
زخلم	AJ$خل+PREP POS COP1SG#PREP POS PRO1SG
زخم	AJ$خم+PREP POS
زخمت	AJ$خم+PREP POS PRO2SG
زخمست	AJ$خم+PREP POS COP3SG
زخمش	AJ$خمش+PREP POS*خم+PREP POS PRO3SG
زخمم	AJ$خم+PREP POS COP1SG#PREP POS PRO1SG
زخمناک	AJ$زخمناک+POS
زخمند	AJ$خم+PREP POS COP3PL
زخمی	AJ$خم+PREP POS COP2SG#PREP POS YEH*زخمی+POS
زخمیست	AJ$خم+PREP POS YEH COP3SG*زخمی+POS COP3SG
زخمی‌ست	AJ$خم+PREP POS YEH COP3SG*زخمی+POS COP3SG
زخم‌مند	AJ$خم+PREP POS PRO1SG COP3PL
زخودی	AJ$خودی+PREP POS
زخوشی	AJ$خوش+PREP POS COP2SG#PREP POS YEH
زدادار	AJ$دادار+PREP POS
زداغی	AJ$داغ+PREP POS COP2SG#PREP POS YEH*داغی+PREP POS
زدانا	AJ$دانا+PREP POS
زدانایی	AJ$دانا+PREP POS YEH
زداه	AJ$داه+PREP POS
زدرون	AJ$درون+PREP POS
زدستی	AJ$دستی+PREP POS
زدستیم	AJ$دستی+PREP POS COP1SG#PREP POS PRO1SG
زدلتنگی	AJ$دلتنگ+PREP POS COP2SG#PREP POS YEH
زدمی	AJ$دمی+PREP POS
زدند	AJ$دند+PREP POS
زدندش	AJ$دند+PREP POS PRO3SG
زدندم	AJ$دند+PREP POS COP1SG#PREP POS PRO1SG
زدندی	AJ$دند+PREP POS COP2SG#PREP POS YEH
زدنی	AJ$دنی+PREP POS
زده	AJ$زده+POS
زده‌ئی	AJ$زده+POS YEH
زده‌است	AJ$زده+POS COP3SG
زده‌ام	AJ$زده+POS PRO1SG#POS COP1SG
زده‌اند	AJ$زده+POS COP3PL
زده‌ای	AJ$زده+POS COP2SG
زده‌ایم	AJ$زده+POS COP1PL
زده‌ست	AJ$زده+POS COP3SG
زده‌ستی	AJ$زده+POS COP2SG
زده‌ی	AJ$زده+POS EZ#POS COP2SG
زدوانیم	AJ$دوان+PREP POS COP1PL#PREP POS YEH COP1SG
زدودم	AJ$دودم+PREP POS
زدوده	AJ$زدوده+POS
زدوده‌اند	AJ$زدوده+POS COP3PL
زدوده‌ی	AJ$زدوده+POS EZ#POS COP2SG
زدور	AJ$دور+PREP POS
زدوریم	AJ$دوری+PREP POS COP1SG#PREP POS PRO1SG*دور+PREP POS COP1PL#PREP POS YEH COP1SG
زدوست	AJ$دوس+PREP POS PRO2SG
زدیده	AJ$دیده+PREP POS
زدیده‌ی	AJ$دیده+PREP POS EZ#PREP POS COP2SG
زدیم	AJ$دیم+PREP POS
زدیگر	AJ$دیگر+PREP POS
زر	AJ$زر+POS
زراد	AJ$راد+PREP POS
زراست	AJ$راست+PREP POS
زرامش	AJ$رام+PREP POS PRO3SG
زراندود	AJ$زراندود+POS
زراندودست	AJ$زراندود+POS COP3SG
زراندودم	AJ$زراندود+POS PRO1SG#POS COP1SG
زراندوزی	AJ$زراندوز+POS YEH#POS COP2SG
زربفت	AJ$زربفت+POS
زربفتی	AJ$زربفت+POS YEH#POS COP2SG
زرت	AJ$زر+POS PRO2SG*رت+PREP POS
زرخشنده	AJ$رخشنده+PREP POS
زرد	AJ$رد+PREP POS*زرد+POS
زردار	AJ$زردار+POS
زردت	AJ$رد+PREP POS PRO2SG*زرد+POS PRO2SG
زردتر	AJ$رد+PREP COMP*زرد+COMP
زردرو	AJ$زردرو+POS
زردروی	AJ$زردرو+POS EZ#POS COP2SG
زردرویم	AJ$زردرو+POS PRO1SG#POS COP1PL
زردرویی	AJ$زردرو+POS YEH
زردست	AJ$رد+PREP POS COP3SG*زرد+POS COP3SG
زردش	AJ$رد+PREP POS PRO3SG*زرد+POS PRO3SG
زردشان	AJ$رد+PREP POS PRO3PL*زرد+POS PRO3PL
زردشتی	AJ$زردشتی+POS
زردشتیست	AJ$زردشتی+POS COP3SG
زردشتیی	AJ$زردشتی+POS EZ#POS COP2SG
زردم	AJ$رد+PREP POS COP1SG#PREP POS PRO1SG*زرد+POS PRO1SG#POS COP1SG
زردمی	AJ$رد+PREP POS PRO1SG COP2SG#PREP POS PRO1SG YEH*زرد+POS PRO1SG YEH#POS PRO1SG COP2SG
زردند	AJ$رد+PREP POS COP3PL*زرد+POS COP3PL
زردوز	AJ$زردوز+POS
زردی	AJ$رد+PREP POS COP2SG#PREP POS YEH*زرد+POS YEH#POS COP2SG
زردیست	AJ$رد+PREP POS YEH COP3SG*زرد+POS YEH COP3SG
زردیم	AJ$رد+PREP POS COP1PL#PREP POS YEH COP1SG*زرد+POS COP1PL#POS YEH COP1SG
زرست	AJ$زر+POS COP3SG*رس+PREP POS PRO2SG
زرستان	AJ$رس+PREP POS PRO2PL
زرستم	AJ$زر+POS COP1SG*رس+PREP POS PRO2SG COP1SG
زرستی	AJ$زر+POS COP2SG*رس+PREP POS PRO2SG COP2SG#PREP POS PRO2SG YEH
زرش	AJ$زر+POS PRO3SG
زرشان	AJ$زر+POS PRO3PL
زرقا	AJ$زرقا+POS
زرقائی	AJ$زرقا+POS YEH
زرم	AJ$زر+POS PRO1SG#POS COP1SG
زرمان	AJ$زر+POS PRO1PL*رمان+PREP POS
زرند	AJ$رند+PREP POS*زر+POS COP3PL
زرنگین	AJ$رنگین+PREP POS
زرها	AJ$رها+PREP POS
زرهاست	AJ$رها+PREP POS COP3SG
زرهای	AJ$رها+PREP POS EZ#PREP POS COP2SG
زره‌دار	AJ$زره‌دار+POS*ره‌دار+PREP POS
زره‌پوش	AJ$زره‌پوش+POS
زروان	AJ$روان+PREP POS
زرک	AJ$رک+PREP POS
زرکش	AJ$رک+PREP POS PRO3SG*زرکش+POS
زرکشت	AJ$زرکش+POS PRO2SG
زرکشم	AJ$رک+PREP POS PRO3SG COP1SG*زرکش+POS PRO1SG#POS COP1SG
زرکشی	AJ$رک+PREP POS PRO3SG YEH#PREP POS PRO3SG COP2SG*زرکش+POS YEH#POS COP2SG
زرکند	AJ$رک+PREP POS COP3PL
زرکوب	AJ$زرکوب+POS
زرکوبست	AJ$زرکوب+POS COP3SG
زرکوبی	AJ$زرکوب+POS YEH#POS COP2SG
زرگون	AJ$زرگون+POS
زری	AJ$زر+POS YEH#POS COP2SG*زری+POS
زریز	AJ$ریز+PREP POS
زریست	AJ$زر+POS YEH COP3SG*زری+POS COP3SG
زریش	AJ$زری+POS PRO3SG*ریش+PREP POS
زریم	AJ$زر+POS COP1PL#POS YEH COP1SG*زری+POS PRO1SG#POS COP1SG
زرین	AJ$زرین+POS
زرینست	AJ$زرین+POS COP3SG
زرینش	AJ$زرین+POS PRO3SG
زرینم	AJ$زرین+POS PRO1SG#POS COP1SG
زرینه	AJ$زرینه+POS
زرینه‌ای	AJ$زرینه+POS COP2SG
زرینی	AJ$زرین+POS YEH#POS COP2SG
زرین‌اند	AJ$زرین+POS COP3PL
زریون	AJ$زریون+POS
زریوند	AJ$زریو+POS COP3PL
زریونی	AJ$زریون+POS YEH#POS COP2SG
ززر	AJ$زر+PREP POS
زست	AJ$+PREP POS COP3SG
زسته	AJ$سته+PREP POS
زسر	AJ$سر+PREP POS
زسرت	AJ$سر+PREP POS PRO2SG
زسوی	AJ$سوی+PREP POS
زسیرش	AJ$سیر+PREP POS PRO3SG
زش	AJ$+PREP POS PRO3SG
زشبگیر	AJ$شبگیر+PREP POS
زشتخو	AJ$زشتخو+POS
زشتخوی	AJ$زشتخو+POS EZ#POS COP2SG
زشتخویی	AJ$زشتخو+POS YEH
زشت‌رو	AJ$زشت‌رو+POS
زشت‌روی	AJ$زشت‌رو+POS EZ#POS COP2SG
زشت‌نامی	AJ$زشت‌نام+POS YEH#POS COP2SG
زشت‌گوی	AJ$زشت‌گو+POS EZ#POS COP2SG
زشنگی	AJ$شنگ+PREP POS COP2SG#PREP POS YEH
زشورانگیزی	AJ$شورانگیز+PREP POS COP2SG#PREP POS YEH
زشیرین	AJ$شیرین+PREP POS
زطاق	AJ$طاق+PREP POS
زعالم	AJ$عالم+PREP POS
زعامه	AJ$عامه+PREP POS
زعفرانی	AJ$زعفرانی+POS
زعفرانیی	AJ$زعفرانی+POS EZ#POS COP2SG
زعفری	AJ$زعفری+POS
زعیم	AJ$زعیم+POS
زعینی	AJ$عینی+PREP POS
زغرقه	AJ$غرقه+PREP POS
زغنی	AJ$غنی+PREP POS
زغیب	AJ$غیب+PREP POS
زغیر	AJ$غیر+PREP POS
زفانی	AJ$فانی+PREP POS
زفت	AJ$زفت+POS
زفتت	AJ$زفت+POS PRO2SG
زفتست	AJ$زفت+POS COP3SG
زفتستم	AJ$زفت+POS COP1SG
زفتی	AJ$فتی+PREP POS*زفت+POS YEH#POS COP2SG
زفتیش	AJ$فتی+PREP POS PRO3SG
زفت‌تر	AJ$زفت+COMP
زفرزند	AJ$فرز+PREP POS COP3PL
زقلب	AJ$قلب+PREP POS
زلات	AJ$لات+PREP POS
زلاتی	AJ$لات+PREP POS COP2SG#PREP POS YEH
زلال	AJ$لال+PREP POS
زلالا	AJ$لالا+PREP POS
زلالت	AJ$لال+PREP POS PRO2SG
زلالست	AJ$لال+PREP POS COP3SG
زلالش	AJ$لال+PREP POS PRO3SG
زلالم	AJ$لال+PREP POS COP1SG#PREP POS PRO1SG
زلالی	AJ$زلالی+POS*لال+PREP POS COP2SG#PREP POS YEH
زلزله‌ای	AJ$زلزله‌ای+POS
زلعل	AJ$لعل+PREP POS
زلعلی	AJ$لعل+PREP POS COP2SG#PREP POS YEH*لعلی+PREP POS
زلق	AJ$لق+PREP POS
زله	AJ$له+PREP POS*زله+POS
زله‌ای	AJ$له+PREP POS COP2SG*زله+POS COP2SG
زله‌ی	AJ$له+PREP POS EZ#PREP POS COP2SG*زله+POS EZ#POS COP2SG
زلیلی	AJ$لیلی+PREP POS
زم	AJ$+PREP POS COP1SG#PREP POS PRO1SG
زمات	AJ$مات+PREP POS
زمان	AJ$+PREP POS PRO1PL
زمانا	AJ$مانا+PREP POS
زمانرا	AJ$+PREP POS PRO1PL POSTP
زمانست	AJ$+PREP POS PRO1PL COP3SG
زمانستی	AJ$+PREP POS PRO1PL COP2SG
زمانم	AJ$+PREP POS PRO1PL COP1SG
زمانند	AJ$+PREP POS PRO1PL COP3PL
زمانی	AJ$+PREP POS PRO1PL YEH#PREP POS PRO1PL COP2SG*زمانی+POS
زمانیت	AJ$زمانی+POS PRO2SG
زمانیست	AJ$+PREP POS PRO1PL YEH COP3SG*زمانی+POS COP3SG
زمانیش	AJ$زمانی+POS PRO3SG
زمانیشان	AJ$زمانی+POS PRO3PL
زمانیم	AJ$+PREP POS PRO1PL COP1PL#PREP POS PRO1PL YEH COP1SG*زمانی+POS PRO1SG#POS COP1SG
زمانیکه	AJ$+PREP POS PRO1PL COP2SG CONJ#PREP POS PRO1PL YEH CONJ*زمانی+POS CONJ
زمخت	AJ$زمخت+POS
زمر	AJ$مر+PREP POS
زمرا	AJ$+PREP POS PRO1SG POSTP
زمرد	AJ$مرد+PREP POS
زمردت	AJ$مرد+PREP POS PRO2SG
زمردست	AJ$مرد+PREP POS COP3SG
زمردم	AJ$مرد+PREP POS COP1SG#PREP POS PRO1SG
زمردوار	AJ$مردوار+PREP POS
زمردی	AJ$زمردی+POS*مرد+PREP POS COP2SG#PREP POS YEH
زمردیم	AJ$زمردی+POS PRO1SG#POS COP1SG*مرد+PREP POS COP1PL#PREP POS YEH COP1SG
زمردین	AJ$زمردین+POS
زمزم	AJ$مز+PREP POS COP1SG#PREP POS PRO1SG
زمزمست	AJ$مز+PREP POS PRO1SG COP3SG
زمزمی	AJ$مز+PREP POS PRO1SG COP2SG#PREP POS PRO1SG YEH
زمستانی	AJ$زمستانی+POS
زمستانیست	AJ$زمستانی+POS COP3SG
زمستی	AJ$+PREP POS PRO1SG COP2SG*مست+PREP POS COP2SG#PREP POS YEH
زمسلمانی	AJ$مسلمانی+PREP POS*مسلمان+PREP POS COP2SG#PREP POS YEH
زمنزل	AJ$منزل+PREP POS
زمهتر	AJ$مه+PREP COMP*مهتر+PREP POS
زمی	AJ$+PREP POS PRO1SG COP2SG#PREP POS PRO1SG YEH
زمیری	AJ$میری+PREP POS
زمیست	AJ$+PREP POS PRO1SG YEH COP3SG
زمیم	AJ$+PREP POS PRO1SG COP1PL#PREP POS PRO1SG YEH COP1SG
زمینی	AJ$زمینی+POS
زمینیت	AJ$زمینی+POS PRO2SG
زمینیست	AJ$زمینی+POS COP3SG
زمینیم	AJ$زمینی+POS PRO1SG#POS COP1SG
زمینیی	AJ$زمینی+POS EZ#POS COP2SG
زمینی‌ست	AJ$زمینی+POS COP3SG
زمین‌بوس	AJ$زمین‌بوس+POS
زمین‌بوسش	AJ$زمین‌بوس+POS PRO3SG
زمین‌گیر	AJ$زمین‌گیر+POS
زناآمده	AJ$ناآمده+PREP POS
