آ	N$آ+SG#
طلیق	AJ$طلیق+POS#
طلی‌های	N$طلی+PL COP2SG#PL EZ#
طماع	AJ$طماع+POS#
طماعی	AJ$طماع+POS COP2SG#POS YEH#
طمث	N$طمث+SG#
طمطراق	N$طمطراق+SG#
طمطراقش	N$طمطراق+SG PRO3SG#
طمطراقی	N$طمطراق+SG YEH#SG COP2SG#
طمع	N$طمع+SG#
طمعان	N$طمع+PL#
طمعت	N$طمع+SG PRO2SG#
طمعش	N$طمع+SG PRO3SG#
طمعشان	N$طمع+SG PRO3PL#
طمعم	N$طمع+SG PRO1SG#SG COP1SG#
طمعند	N$طمع+SG COP3PL#
طمعها	N$طمع+PL#
طمعی	N$طمع+SG YEH#SG COP2SG#
طمع‌ها	N$طمع+PL#
طمغا	N$طمغا+SG#
طناب	N$طناب+SG#
طنابست	N$طناب+SG COP3SG#
طنابش	N$طناب+SG PRO3SG#
طنابشان	N$طناب+SG PRO3PL#
طنابم	N$طناب+SG PRO1SG#SG COP1SG#
طنابها	N$طناب+PL#
طنابی	AJ$طنابی+POS#N$طنابی+SG#طناب+SG YEH#SG COP2SG#
طنابیست	AJ$طنابی+POS COP3SG#N$طنابی+SG COP3SG#طناب+SG YEH COP3SG#
طناز	N$طناز+SG#
طنازان	N$طناز+PL#
طنازش	N$طناز+SG PRO3SG#
طنازم	N$طناز+SG PRO1SG#SG COP1SG#
طنازی	N$طنازی+SG#طناز+SG YEH#SG COP2SG#
طنازیست	N$طنازی+SG COP3SG#طناز+SG YEH COP3SG#
طنازیم	N$طنازی+SG COP1SG#طناز+SG COP1PL#SG YEH COP1SG#
طنازیی	N$طنازی+SG EZ#SG COP2SG#طناز+SG YEH COP2SG#
طنبور	N$طنبور+SG#
طنبوره	N$طنبوره+SG#
طنبوره‌ی	N$طنبوره+SG EZ#SG COP2SG#
طنبوری	N$طنبور+SG YEH#SG COP2SG#
طنبیست	N$طنب+SG YEH COP3SG#
طنجه	N$طنجه+SG#
طنز	N$طنز+SG#
طنزش	N$طنز+SG PRO3SG#
طنزی	N$طنز+SG YEH#SG COP2SG#
طنطنه	N$طنطنه+SG#
طنطنه‌ات	N$طنطنه+SG PRO2SG#
طنطنه‌ست	N$طنطنه+SG COP3SG#
طنطنه‌ی	N$طنطنه+SG EZ#SG COP2SG#
طنین	N$طنین+SG#
طنینی	N$طنین+SG YEH#SG COP2SG#
طهارت	N$طهارت+SG#
طهارتی	N$طهارت+SG YEH#SG COP2SG#
طهارتی‌ست	N$طهارت+SG YEH COP3SG#
طهر	N$طهر+SG#
طهرت	N$طهر+SG PRO2SG#
طهماسب	N$طهماسب+SG#
طهور	AJ$طهور+POS#N$طهور+SG#
طهوران	N$طهور+PL#
طهورم	AJ$طهور+POS COP1SG#POS PRO1SG#N$طهور+SG PRO1SG#SG COP1SG#
طهوری	AJ$طهور+POS COP2SG#POS YEH#N$طهور+SG YEH#SG COP2SG#
طواشی	N$طواشی+SG#
طواف	AJ$طواف+POS#N$طواف+SG#
طوافان	N$طواف+PL#
طوافانش	N$طواف+PL PRO3SG#
طوافت	AJ$طواف+POS PRO2SG#N$طواف+SG PRO2SG#
طوافست	AJ$طواف+POS COP3SG#N$طواف+SG COP3SG#
طوافش	AJ$طواف+POS PRO3SG#N$طواف+SG PRO3SG#
طوافم	AJ$طواف+POS COP1SG#POS PRO1SG#N$طواف+SG PRO1SG#SG COP1SG#
طوافی	AJ$طواف+POS COP2SG#POS YEH#N$طواف+SG YEH#SG COP2SG#
طوافید	AJ$طواف+POS COP2PL#N$طواف+SG COP2PL#
طواف‌ها	N$طواف+PL#
طوامیر	N$طومار+PL#طوامیر+SG#
طوایف	N$طایفه+PL#
طوبا	N$طوبا+SG#
طور	N$طور+SG#
طورانی	N$طور+PL YEH#PL COP2SG#
طورت	N$طور+SG PRO2SG#
طورست	N$طور+SG COP3SG#
طورش	N$طور+SG PRO3SG#
طورشان	N$طور+SG PRO3PL#
طورم	N$طور+SG PRO1SG#SG COP1SG#
طورها	N$طور+PL#
طورهای	N$طور+PL COP2SG#PL EZ#
طوری	N$طور+SG YEH#SG COP2SG#
طوریم	N$طور+SG COP1PL#SG YEH COP1SG#
طوس	N$طوس+SG#
طوسست	N$طوس+SG COP3SG#
طوسی	AJ$طوسی+POS#N$طوس+SG YEH#SG COP2SG#
طوسیست	AJ$طوسی+POS COP3SG#N$طوس+SG YEH COP3SG#
طوس‌اند	N$طوس+SG COP3PL#
طوطک	N$طوطک+SG#
طوع	N$طوع+SG#
طوعش	N$طوع+SG PRO3SG#
طوعی	N$طوع+SG YEH#SG COP2SG#
طوغان	N$طوغان+SG#طوغ+PL#
طوغانش	N$طوغان+SG PRO3SG#طوغ+PL PRO3SG#
طوف	N$طوف+SG#
طوفان	N$طوفان+SG#طوف+PL#
طوفانست	N$طوفان+SG COP3SG#طوف+PL COP3SG#
طوفانش	N$طوفان+SG PRO3SG#طوف+PL PRO3SG#
طوفانم	N$طوفان+SG PRO1SG#SG COP1SG#طوف+PL COP1SG#PL PRO1SG#
طوفانند	N$طوفان+SG COP3PL#طوف+PL COP3PL#
طوفانهای	N$طوفان+PL COP2SG#PL EZ#
طوفانی	AJ$طوفانی+POS#N$طوفان+SG YEH#SG COP2SG#طوف+PL YEH#PL COP2SG#
طوفانیست	AJ$طوفانی+POS COP3SG#N$طوفان+SG YEH COP3SG#طوف+PL YEH COP3SG#
طوفانیم	AJ$طوفانی+POS COP1SG#N$طوفان+SG COP1PL#SG YEH COP1SG#طوف+PL COP1PL#PL YEH COP1SG#
طوفان‌زا	AJ$طوفان‌زا+POS#
طوفان‌ست	N$طوفان+SG COP3SG#طوف+PL COP3SG#
طوفان‌ها	N$طوفان+PL#
طوفی	N$طوف+SG YEH#SG COP2SG#
طوق	N$طوق+SG#
طوقت	N$طوق+SG PRO2SG#
طوقدار	AJ$طوقدار+POS#
طوقش	N$طوق+SG PRO3SG#
طوقم	N$طوق+SG PRO1SG#SG COP1SG#
طوقهاست	N$طوق+PL COP3SG#
طوقی	N$طوق+SG YEH#SG COP2SG#
طوقیست	N$طوق+SG YEH COP3SG#
طوقی‌ست	N$طوق+SG YEH COP3SG#
طول	N$طول+SG#
طولانی	AJ$طولانی+POS#N$طول+PL YEH#PL COP2SG#
طولش	N$طول+SG PRO3SG#
طولمی	N$طول+SG PRO1SG COP2SG#SG PRO1SG YEH#
طولی	AJ$طولی+POS#N$طول+SG YEH#SG COP2SG#
طولیست	AJ$طولی+POS COP3SG#N$طول+SG YEH COP3SG#
طول‌ها	N$طول+PL#
طومار	N$طومار+SG#
طومارت	N$طومار+SG PRO2SG#
طومارش	N$طومار+SG PRO3SG#
طومارشان	N$طومار+SG PRO3PL#
طومارم	N$طومار+SG PRO1SG#SG COP1SG#
طومارها	N$طومار+PL#
طومارهای	N$طومار+PL COP2SG#PL EZ#
طوماری	AJ$طوماری+POS#N$طومار+SG YEH#SG COP2SG#طوماری+SG#
طویل	AJ$طویل+POS#
طویلست	AJ$طویل+POS COP3SG#
طویله	N$طویله+SG#
طویله‌اند	N$طویله+SG COP3PL#
طویله‌ی	N$طویله+SG EZ#SG COP2SG#
طپان	AJ$طپان+POS#
طپانم	AJ$طپان+POS COP1SG#POS PRO1SG#
طپانچه	N$طپانچه+SG#
طپانچه‌ای	N$طپانچه+SG COP2SG#
طپانچه‌ی	N$طپانچه+SG EZ#SG COP2SG#
طی	N$طی+SG#
طیار	AJ$طیار+POS#
طیارم	AJ$طیار+POS COP1SG#POS PRO1SG#
طیاره	N$طیاره+SG#
طیاره‌ای	N$طیاره+SG COP2SG#
طیاره‌ی	N$طیاره+SG EZ#SG COP2SG#
طیاری	AJ$طیار+POS COP2SG#POS YEH#
طیاریی	AJ$طیار+POS YEH COP2SG#
طیان	N$طی+PL#طیان+SG#
طیب	AJ$طیب+POS#N$طیب+SG#
طیبات	N$طیبات+SG#طیبه+PL#
طیباتست	N$طیبات+SG COP3SG#طیبه+PL COP3SG#
طیباتش	N$طیبات+SG PRO3SG#طیبه+PL PRO3SG#
طیبت	AJ$طیب+POS PRO2SG#N$طیبت+SG#طیب+SG PRO2SG#
طیبتر	AJ$طیب+COMP#
طیبتش	N$طیبت+SG PRO3SG#
طیبتی	AJ$طیب+POS PRO2SG COP2SG#POS PRO2SG YEH#N$طیبت+SG YEH#SG COP2SG#طیب+SG PRO2SG COP2SG#SG PRO2SG YEH#
طیبش	AJ$طیب+POS PRO3SG#N$طیب+SG PRO3SG#
طیبه	AJ$طیبه+POS#N$طیبه+SG#
طیبها	N$طیب+PL#
طیبه‌ست	AJ$طیبه+POS COP3SG#N$طیبه+SG COP3SG#
طیبی	AJ$طیب+POS COP2SG#POS YEH#N$طیب+SG YEH#SG COP2SG#
طیر	N$طیر+SG#
طیرا	N$طی+SG POSTP#
طیران	N$طیر+PL#طیران+SG#
طیرانت	N$طیر+PL PRO2SG#طیران+SG PRO2SG#
طیرانست	N$طیر+PL COP3SG#طیران+SG COP3SG#
طیرانش	N$طیر+PL PRO3SG#طیران+SG PRO3SG#
طیرانند	N$طیر+PL COP3PL#طیران+SG COP3PL#
طیرت	N$طیر+SG PRO2SG#طیرت+SG#
طیره	N$طیره+SG#
طیره‌ام	N$طیره+SG PRO1SG#SG COP1SG#
طیره‌ای	N$طیره+SG COP2SG#
طیره‌ی	N$طیره+SG EZ#SG COP2SG#
طیری	N$طیر+SG YEH#SG COP2SG#
طیسفون	N$طیسفون+SG#
طیسفونش	N$طیسفون+SG PRO3SG#
طیش	N$طیش+SG#
طیشی	N$طیش+SG YEH#SG COP2SG#
طیف	N$طیف+SG#
طیلسان	N$طیلسان+SG#
طیلسانت	N$طیلسان+SG PRO2SG#
طیلسانست	N$طیلسان+SG COP3SG#
طیلسانش	N$طیلسان+SG PRO3SG#
طیلسانم	N$طیلسان+SG PRO1SG#SG COP1SG#
طیلسانی	N$طیلسان+SG YEH#SG COP2SG#
طیلسان‌شان	N$طیلسان+SG PRO3PL#
طین	N$طین+SG#
طینت	N$طین+SG PRO2SG#طینت+SG#
طینتست	N$طین+SG PRO2SG COP3SG#طینت+SG COP3SG#
طینتش	N$طینت+SG PRO3SG#
طینتم	N$طین+SG PRO2SG COP1SG#طینت+SG PRO1SG#SG COP1SG#
طینتیم	N$طین+SG PRO2SG YEH COP1SG#SG PRO2SG COP1PL#طینت+SG COP1PL#SG YEH COP1SG#
طینش	N$طین+SG PRO3SG#
طینم	N$طین+SG PRO1SG#SG COP1SG#
طینی	N$طین+SG YEH#SG COP2SG#
طیور	N$طیر+PL#طیور+SG#طایر+PL#
طیورش	N$طیر+PL PRO3SG#طیور+SG PRO3SG#طایر+PL PRO3SG#
طیورند	N$طیر+PL COP3PL#طیور+SG COP3PL#طایر+PL COP3PL#
ظاء	N$ظاء+SG#
ظالم	AJ$ظالم+POS#N$ظالم+SG#
ظالمان	N$ظالم+PL#
ظالمانت	N$ظالم+PL PRO2SG#
ظالمست	AJ$ظالم+POS COP3SG#N$ظالم+SG COP3SG#
ظالمی	AJ$ظالم+POS COP2SG#POS YEH#N$ظالم+SG YEH#SG COP2SG#
ظالم‌اند	AJ$ظالم+POS COP3PL#N$ظالم+SG COP3PL#
ظالم‌تر	AJ$ظالم+COMP#
ظاهر	N$ظاهر+SG#
ظاهربین	AJ$ظاهربین+POS#N$ظاهربین+SG#
ظاهرت	N$ظاهر+SG PRO2SG#
ظاهرست	N$ظاهر+SG COP3SG#
ظاهرش	N$ظاهر+SG PRO3SG#
ظاهرشان	N$ظاهر+SG PRO3PL#
ظاهرم	N$ظاهر+SG PRO1SG#SG COP1SG#
ظاهرند	N$ظاهر+SG COP3PL#
ظاهرنگر	AJ$ظاهرنگر+POS#
ظاهرها	N$ظاهر+PL#
ظاهرپرست	AJ$ظاهرپرست+POS#
ظاهری	N$ظاهری+SG#ظاهر+SG YEH#SG COP2SG#
ظاهریست	N$ظاهری+SG COP3SG#ظاهر+SG YEH COP3SG#
ظاهریم	N$ظاهری+SG COP1SG#ظاهر+SG COP1PL#SG YEH COP1SG#
ظبی	N$ظبی+SG#
ظرافت	N$ظرافت+SG#
ظرافتهای	N$ظرافت+PL COP2SG#PL EZ#
ظرایف	N$ظریفه+PL#ظرایف+SG#
ظرف	N$ظرف+SG#
ظرفش	N$ظرف+SG PRO3SG#
ظرفها	N$ظرف+PL#
ظرفی	AJ$ظرفی+POS#N$ظرف+SG YEH#SG COP2SG#
ظریف	AJ$ظریف+POS#N$ظریف+SG#
ظریفان	N$ظریف+PL#
ظریفانی	N$ظریف+PL YEH#PL COP2SG#
ظریفت	AJ$ظریف+POS PRO2SG#N$ظریف+SG PRO2SG#
ظریفتر	AJ$ظریف+COMP#
ظریفست	AJ$ظریف+POS COP3SG#N$ظریف+SG COP3SG#
ظریفش	AJ$ظریف+POS PRO3SG#N$ظریف+SG PRO3SG#
ظریفم	AJ$ظریف+POS COP1SG#POS PRO1SG#N$ظریف+SG PRO1SG#SG COP1SG#
ظریفی	AJ$ظریف+POS COP2SG#POS YEH#N$ظریفی+SG#ظریف+SG YEH#SG COP2SG#
ظریفید	AJ$ظریف+POS COP2PL#N$ظریف+SG COP2PL#
ظفر	N$ظفر+SG#
ظفرت	N$ظفر+SG PRO2SG#
ظفرست	N$ظفر+SG COP3SG#
ظفرش	N$ظفر+SG PRO3SG#
ظفرم	N$ظفر+SG PRO1SG#SG COP1SG#
ظفری	N$ظفر+SG YEH#SG COP2SG#
ظل	N$ظل+SG#
ظلال	N$ظل+PL#ظلال+SG#
ظلالت	N$ظل+PL PRO2SG#ظلال+SG PRO2SG#
ظلالست	N$ظل+PL COP3SG#ظلال+SG COP3SG#
ظلالش	N$ظل+PL PRO3SG#ظلال+SG PRO3SG#
ظلالم	N$ظل+PL COP1SG#PL PRO1SG#ظلال+SG PRO1SG#SG COP1SG#
ظلام	N$ظالم+PL#ظلام+SG#
ظلامات	N$ظلامت+PL#ظلامات+SG#ظلامه+PL#ظلمت+PL#
ظلامت	N$ظلامت+SG#ظالم+PL PRO2SG#ظلام+SG PRO2SG#
ظلامست	N$ظالم+PL COP3SG#ظلام+SG COP3SG#
ظلامش	N$ظالم+PL PRO3SG#ظلام+SG PRO3SG#
ظلامم	N$ظالم+PL COP1SG#PL PRO1SG#ظلام+SG PRO1SG#SG COP1SG#
ظلامی	N$ظالم+PL YEH#PL COP2SG#ظلام+SG YEH#SG COP2SG#
ظلت	N$ظل+SG PRO2SG#
ظلست	N$ظل+SG COP3SG#
ظلش	N$ظل+SG PRO3SG#
ظلم	N$ظل+SG PRO1SG#SG COP1SG#ظلم+SG#
ظلمات	N$ظلمت+PL#ظلمه+PL#ظلمات+SG#
ظلماتست	N$ظلمت+PL COP3SG#ظلمه+PL COP3SG#ظلمات+SG COP3SG#
ظلماتش	N$ظلمت+PL PRO3SG#ظلمه+PL PRO3SG#ظلمات+SG PRO3SG#
ظلماتی	N$ظلمت+PL YEH#PL COP2SG#ظلمه+PL YEH#PL COP2SG#ظلمات+SG YEH#SG COP2SG#ظلماتی+SG#
ظلمان	N$ظل+SG PRO1PL#ظلم+PL#
ظلمانی	N$ظلمانی+SG#ظل+SG PRO1PL COP2SG#SG PRO1PL YEH#ظلم+PL YEH#PL COP2SG#
ظلمانیست	N$ظلمانی+SG COP3SG#ظل+SG PRO1PL YEH COP3SG#ظلم+PL YEH COP3SG#
ظلمانیم	N$ظلمانی+SG COP1SG#ظل+SG PRO1PL COP1PL#SG PRO1PL YEH COP1SG#ظلم+PL COP1PL#PL YEH COP1SG#
ظلمانی‌اند	N$ظلمانی+SG COP3PL#ظل+SG PRO1PL YEH COP3PL#ظلم+PL YEH COP3PL#
ظلمت	N$ظلمت+SG#ظلم+SG PRO2SG#
ظلمتت	N$ظلمت+SG PRO2SG#
ظلمتست	N$ظلمت+SG COP3SG#ظلم+SG PRO2SG COP3SG#
ظلمتش	N$ظلمت+SG PRO3SG#
ظلمتم	N$ظلمت+SG PRO1SG#SG COP1SG#ظلم+SG PRO2SG COP1SG#
ظلمتهای	N$ظلمت+PL COP2SG#PL EZ#
ظلمتی	N$ظلمت+SG YEH#SG COP2SG#ظلم+SG PRO2SG COP2SG#SG PRO2SG YEH#
ظلمت‌ها	N$ظلمت+PL#
ظلمت‌هاست	N$ظلمت+PL COP3SG#
ظلمست	N$ظل+SG PRO1SG COP3SG#ظلم+SG COP3SG#
ظلمش	N$ظلم+SG PRO3SG#
ظلمشان	N$ظلم+SG PRO3PL#
ظلمم	N$ظل+SG PRO1SG COP1SG#ظلم+SG PRO1SG#SG COP1SG#
ظلمها	N$ظلم+PL#
ظلمی	N$ظل+SG PRO1SG COP2SG#SG PRO1SG YEH#ظلم+SG YEH#SG COP2SG#
ظلمیست	N$ظل+SG PRO1SG YEH COP3SG#ظلم+SG YEH COP3SG#
ظلم‌ها	N$ظلم+PL#
ظلم‌کیش	N$ظلم‌کیش+SG#
ظلوم	AJ$ظلوم+POS#N$ظلوم+SG#
ظلومست	AJ$ظلوم+POS COP3SG#N$ظلوم+SG COP3SG#
ظلومی	AJ$ظلوم+POS COP2SG#POS YEH#N$ظلوم+SG YEH#SG COP2SG#
ظلی	N$ظلی+SG#ظل+SG YEH#SG COP2SG#
ظلیل	AJ$ظلیل+POS#
ظلیلم	AJ$ظلیل+POS COP1SG#POS PRO1SG#
ظلیم	AJ$ظلیم+POS#N$ظلی+SG COP1SG#ظل+SG COP1PL#SG YEH COP1SG#ظلیم+SG#
ظن	N$ظن+SG#
ظنت	N$ظن+SG PRO2SG#
ظنتان	N$ظن+SG PRO2PL#
ظنست	N$ظن+SG COP3SG#
ظنم	N$ظن+SG PRO1SG#SG COP1SG#
ظنها	N$ظن+PL#
ظنون	AJ$ظنون+POS#N$ظنون+SG#ظن+PL#
ظنی	N$ظن+SG YEH#SG COP2SG#
ظنین	AJ$ظنین+POS#
ظهر	N$ظهر+SG#
ظهرت	N$ظهر+SG PRO2SG#
ظهور	N$ظهر+PL#ظهور+SG#
ظهورت	N$ظهر+PL PRO2SG#ظهور+SG PRO2SG#
ظهورست	N$ظهر+PL COP3SG#ظهور+SG COP3SG#
ظهورش	N$ظهر+PL PRO3SG#ظهور+SG PRO3SG#
ظهورم	N$ظهر+PL COP1SG#PL PRO1SG#ظهور+SG PRO1SG#SG COP1SG#
ظهورند	N$ظهر+PL COP3PL#ظهور+SG COP3PL#
ظهوری	N$ظهر+PL YEH#PL COP2SG#ظهور+SG YEH#SG COP2SG#
ظهوری‌ست	N$ظهر+PL YEH COP3SG#ظهور+SG YEH COP3SG#
ظهیر	AJ$ظهیر+POS#N$ظهیر+SG#
ظهیریست	AJ$ظهیر+POS YEH COP3SG#N$ظهیر+SG YEH COP3SG#
ظواهر	N$ظواهر+SG#ظاهر+PL#
عابد	AJ$عابد+POS#N$عابد+SG#
عابدان	N$عابد+PL#
عابدست	AJ$عابد+POS COP3SG#N$عابد+SG COP3SG#
عابدفریب	AJ$عابدفریب+POS#
عابدی	AJ$عابد+POS COP2SG#POS YEH#N$عابدی+SG#عابد+SG YEH#SG COP2SG#
عابدیست	AJ$عابد+POS YEH COP3SG#N$عابدی+SG COP3SG#عابد+SG YEH COP3SG#
عاجز	AJ$عاجز+POS#N$عاجز+SG#
عاجزان	N$عاجز+PL#
عاجزانه	AJ$عاجزانه+POS#
عاجزانه‌ی	AJ$عاجزانه+POS EZ#POS COP2SG#
عاجزت	AJ$عاجز+POS PRO2SG#N$عاجز+SG PRO2SG#
عاجزتر	AJ$عاجز+COMP#
عاجزترند	AJ$عاجز+COMP COP3PL#
عاجزست	AJ$عاجز+POS COP3SG#N$عاجز+SG COP3SG#
عاجزش	AJ$عاجز+POS PRO3SG#N$عاجز+SG PRO3SG#
عاجزم	AJ$عاجز+POS COP1SG#POS PRO1SG#N$عاجز+SG PRO1SG#SG COP1SG#
عاجزند	AJ$عاجز+POS COP3PL#N$عاجز+SG COP3PL#
عاجزی	AJ$عاجز+POS COP2SG#POS YEH#N$عاجزی+SG#عاجز+SG YEH#SG COP2SG#
عاجزیم	AJ$عاجز+POS COP1PL#POS YEH COP1SG#N$عاجزی+SG COP1SG#عاجز+SG COP1PL#SG YEH COP1SG#
عاجزیی	AJ$عاجز+POS YEH COP2SG#N$عاجزی+SG EZ#SG COP2SG#عاجز+SG YEH COP2SG#
عاجزی‌ام	AJ$عاجز+POS YEH COP1SG#N$عاجزی+SG COP1SG#عاجز+SG YEH COP1SG#
عاجل	AJ$عاجل+POS#
عاجلست	AJ$عاجل+POS COP3SG#
عاجلش	AJ$عاجل+POS PRO3SG#
عاد	N$عاد+SG#
عادات	N$عادت+PL#عادات+SG#
عاداتست	N$عادت+PL COP3SG#عادات+SG COP3SG#
عاداتی	N$عادت+PL YEH#PL COP2SG#عادات+SG YEH#SG COP2SG#
عاداتیم	N$عادت+PL COP1PL#PL YEH COP1SG#عادات+SG COP1PL#SG YEH COP1SG#
عادان	N$عاد+PL#
عادت	N$عاد+SG PRO2SG#عادت+SG#
عادتت	N$عادت+SG PRO2SG#
عادتست	N$عاد+SG PRO2SG COP3SG#عادت+SG COP3SG#
عادتش	N$عادت+SG PRO3SG#
عادتم	N$عاد+SG PRO2SG COP1SG#عادت+SG PRO1SG#SG COP1SG#
عادتی	N$عاد+SG PRO2SG COP2SG#SG PRO2SG YEH#عادت+SG YEH#SG COP2SG#
عادتیست	N$عاد+SG PRO2SG YEH COP3SG#عادت+SG YEH COP3SG#
عادش	N$عاد+SG PRO3SG#
عادل	AJ$عادل+POS#N$عادل+SG#
عادلان	N$عادل+PL#
عادلانش	N$عادل+PL PRO3SG#
عادلتر	AJ$عادل+COMP#
عادلست	AJ$عادل+POS COP3SG#N$عادل+SG COP3SG#
عادلش	AJ$عادل+POS PRO3SG#N$عادل+SG PRO3SG#
عادلی	AJ$عادل+POS COP2SG#POS YEH#N$عادل+SG YEH#SG COP2SG#
عادلیم	AJ$عادل+POS COP1PL#POS YEH COP1SG#N$عادل+SG COP1PL#SG YEH COP1SG#
عادل‌تر	AJ$عادل+COMP#
عادند	N$عاد+SG COP3PL#
عادی	N$عاد+SG YEH#SG COP2SG#عادی+SG#
عادیان	N$عادی+PL#
عاذل	AJ$عاذل+POS#
عاذلی	AJ$عاذل+POS COP2SG#POS YEH#
عار	N$عار+SG#
عارت	N$عار+SG PRO2SG#
عارست	N$عار+SG COP3SG#
عارش	N$عار+SG PRO3SG#
عارض	AJ$عارض+POS#N$عارض+SG#
عارضان	N$عارض+PL#
عارضت	AJ$عارض+POS PRO2SG#N$عارض+SG PRO2SG#
عارضست	AJ$عارض+POS COP3SG#N$عارض+SG COP3SG#
عارضش	AJ$عارض+POS PRO3SG#N$عارض+SG PRO3SG#
عارضم	AJ$عارض+POS COP1SG#POS PRO1SG#N$عارض+SG PRO1SG#SG COP1SG#
عارضه	AJ$عارضه+POS#N$عارضه+SG#
عارضه‌ای	AJ$عارضه+POS COP2SG#N$عارضه+SG COP2SG#
عارضه‌ی	AJ$عارضه+POS EZ#POS COP2SG#N$عارضه+SG EZ#SG COP2SG#
عارضگان	N$عارضه+PL#
عارضی	AJ$عارضی+POS#عارض+POS COP2SG#POS YEH#N$عارض+SG YEH#SG COP2SG#
عارضیست	AJ$عارضی+POS COP3SG#عارض+POS YEH COP3SG#N$عارض+SG YEH COP3SG#
عارف	AJ$عارف+POS#N$عارف+SG#
عارفان	N$عارف+PL#
عارفانرا	N$عارف+PL POSTP#
عارفانش	N$عارف+PL PRO3SG#
عارفانه	AJ$عارفانه+POS#
عارفانی	N$عارف+PL YEH#PL COP2SG#
عارفست	AJ$عارف+POS COP3SG#N$عارف+SG COP3SG#
عارفش	AJ$عارف+POS PRO3SG#N$عارف+SG PRO3SG#
عارفم	AJ$عارف+POS COP1SG#POS PRO1SG#N$عارف+SG PRO1SG#SG COP1SG#
عارفی	AJ$عارف+POS COP2SG#POS YEH#N$عارف+SG YEH#SG COP2SG#
عارفیست	AJ$عارف+POS YEH COP3SG#N$عارف+SG YEH COP3SG#
عارم	N$عار+SG PRO1SG#SG COP1SG#
عارند	N$عار+SG COP3PL#
عارهاست	N$عار+PL COP3SG#
عاری	N$عار+SG YEH#SG COP2SG#
عاریتی	AJ$عاریتی+POS#
عاریتیست	AJ$عاریتی+POS COP3SG#
عاریست	N$عار+SG YEH COP3SG#
عاریم	N$عار+SG COP1PL#SG YEH COP1SG#
عاشق	AJ$عاشق+POS#N$عاشق+SG#PL#
عاشقان	N$عاشق+PL#
عاشقانت	N$عاشق+PL PRO2SG#
عاشقانرا	N$عاشق+PL POSTP#
عاشقانست	N$عاشق+PL COP3SG#
عاشقانش	N$عاشق+PL PRO3SG#
عاشقانم	N$عاشق+PL COP1SG#PL PRO1SG#
عاشقانمی	N$عاشق+PL PRO1SG YEH#PL PRO1SG COP2SG#
عاشقانند	N$عاشق+PL COP3PL#
عاشقانه	AJ$عاشقانه+POS#
عاشقانه‌ام	AJ$عاشقانه+POS COP1SG#POS PRO1SG#
عاشقانه‌ای	AJ$عاشقانه+POS COP2SG#
عاشقانه‌ی	AJ$عاشقانه+POS EZ#POS COP2SG#
عاشقانی	N$عاشق+PL YEH#PL COP2SG#
عاشقانیم	N$عاشق+PL COP1PL#PL YEH COP1SG#
عاشقت	AJ$عاشق+POS PRO2SG#N$عاشق+SG PRO2SG#PL PRO2SG#
عاشقتر	AJ$عاشق+COMP#
عاشقتست	AJ$عاشق+POS PRO2SG COP3SG#N$عاشق+PL PRO2SG COP3SG#SG PRO2SG COP3SG#
عاشقست	AJ$عاشق+POS COP3SG#N$عاشق+SG COP3SG#PL COP3SG#
عاشقش	AJ$عاشق+POS PRO3SG#N$عاشق+SG PRO3SG#PL PRO3SG#
عاشقم	AJ$عاشق+POS COP1SG#POS PRO1SG#N$عاشق+PL COP1SG#SG PRO1SG#SG COP1SG#PL PRO1SG#
عاشقند	AJ$عاشق+POS COP3PL#N$عاشق+SG COP3PL#PL COP3PL#
عاشقی	AJ$عاشق+POS COP2SG#POS YEH#N$عاشق+SG YEH#PL YEH#PL COP2SG#SG COP2SG#عاشقی+SG#
عاشقید	AJ$عاشق+POS COP2PL#N$عاشق+SG COP2PL#PL COP2PL#
عاشقیست	AJ$عاشق+POS YEH COP3SG#N$عاشق+SG YEH COP3SG#PL YEH COP3SG#عاشقی+SG COP3SG#
عاشقیم	AJ$عاشق+POS COP1PL#POS YEH COP1SG#N$عاشق+SG COP1PL#PL COP1PL#SG YEH COP1SG#PL YEH COP1SG#عاشقی+SG COP1SG#
عاشقیها	N$عاشقی+PL#
عاشقی‌ست	AJ$عاشق+POS YEH COP3SG#N$عاشق+SG YEH COP3SG#PL YEH COP3SG#عاشقی+SG COP3SG#
عاشق‌تر	AJ$عاشق+COMP#
عاشق‌ترست	AJ$عاشق+COMP COP3SG#
عاشق‌ترم	AJ$عاشق+COMP COP1SG#COMP PRO1SG#
عاشق‌ست	AJ$عاشق+POS COP3SG#N$عاشق+SG COP3SG#PL COP3SG#
عاشق‌کشی	AJ$عاشق‌کش+POS COP2SG#POS YEH#
عاصم	AJ$عاصم+POS#N$عاصم+SG#
عاصمست	AJ$عاصم+POS COP3SG#N$عاصم+SG COP3SG#
عاصی	AJ$عاصی+POS#N$عاصی+SG#
عاصیان	N$عاصی+PL#
عاصیم	AJ$عاصی+POS COP1SG#N$عاصی+SG COP1SG#
عاصیی	AJ$عاصی+POS EZ#POS COP2SG#N$عاصی+SG EZ#SG COP2SG#
عاطر	AJ$عاطر+POS#
عاطفت	N$عاطف+SG PRO2SG#عاطفت+SG#
عاطفتت	N$عاطفت+SG PRO2SG#
عاطفتم	N$عاطف+SG PRO2SG COP1SG#عاطفت+SG PRO1SG#SG COP1SG#
عاطفتهای	N$عاطفت+PL COP2SG#PL EZ#
